ticker,metric,source_fiscal_years,source_year_count,review_pending_fiscal_years,review_pending_year_count,calculation_ready_fiscal_years,calculation_ready_year_count,missing_source_years,earliest_source_year,latest_source_year,coverage_status
AAPL,return_on_assets,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,return_on_equity,,0,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,revenue,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,,2007,2025,CALCULATION_READY_10Y
AAPL,shareholders_equity,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,20,,0,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,20,,2006,2025,CALCULATION_READY_10Y
AAPL,short_term_debt,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,12,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,12,,0,,2014,2025,SEMANTIC_REVIEW_REQUIRED
AAPL,total_assets,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,2008,2025,CALCULATION_READY_10Y
AAPL,total_liabilities,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,2008,2025,CALCULATION_READY_10Y
AAPL,working_capital,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,working_capital_to_revenue,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
MSFT,accounts_payable,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,2009,2026,CALCULATION_READY_10Y
MSFT,accounts_receivable,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,2009,2026,CALCULATION_READY_10Y
MSFT,capex_ratio,,0,,0,2008 2009 2010 2011 2012 2013 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,17,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,capital_expenditures,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,19,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,19,,2008,2026,CALCULATION_READY_10Y
MSFT,cash_and_equivalents,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,20,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,20,,2007,2026,CALCULATION_READY_10Y
MSFT,cash_ratio,,0,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,current_assets,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,2009,2026,CALCULATION_READY_10Y
MSFT,current_liabilities,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,2009,2026,CALCULATION_READY_10Y
MSFT,current_ratio,,0,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,debt,,0,,0,2013 2014 2015 2016 2017,5,,,,DERIVED_CALCULATION_READY_5Y
MSFT,debt_to_equity,,0,,0,2013 2014 2015 2016 2017,5,2013 2014 2015 2016 2017,,,CALCULATION_READY_5Y
MSFT,depreciation_amortization,2008 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,0,2008 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009,2008,2026,CALCULATION_READY_10Y
MSFT,ebitda,,0,,0,2008 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,,,DERIVED_CALCULATION_READY_10Y
MSFT,ebitda_margin,,0,,0,2008 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,equity_ratio,,0,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,free_cash_flow,,0,,0,2008 2009 2010 2011 2012 2013 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,17,,,,DERIVED_CALCULATION_READY_10Y
MSFT,free_cash_flow_margin,,0,,0,2008 2009 2010 2011 2012 2013 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,17,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,gross_margin,,0,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,20,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,gross_profit,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,20,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,20,,2007,2026,CALCULATION_READY_10Y
MSFT,inventory,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,2009,2026,CALCULATION_READY_10Y
MSFT,inventory_days,,0,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,inventory_intensity,,0,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,long_term_debt,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,2009,2026,CALCULATION_READY_10Y
MSFT,net_debt,,0,2009 2010 2011 2012 2018 2019 2020 2021 2022 2023 2024 2025 2026,13,2013 2014 2015 2016 2017,5,,,,DERIVED_CALCULATION_READY_5Y
MSFT,net_debt_to_ebitda,,0,,0,2013 2014 2015 2016 2017,5,,,,DERIVED_CALCULATION_READY_5Y
MSFT,net_income,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,20,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,20,,2007,2026,CALCULATION_READY_10Y
MSFT,net_margin,,0,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,20,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,operating_cash_flow,2008 2009 2010 2011 2012 2013 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,17,,0,2008 2009 2010 2011 2012 2013 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,17,2014 2015,2008,2026,CALCULATION_READY_10Y
MSFT,operating_cash_flow_margin,,0,,0,2008 2009 2010 2011 2012 2013 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,17,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,operating_income,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,19,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,19,,2008,2026,CALCULATION_READY_10Y
MSFT,operating_margin,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,19,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
