ticker,fiscal_year,metric,requirement,final_status,final_provider,final_value,final_currency,final_field,final_filing_date,final_accession,dual_run_classification,sec_value,sec_field,edgartools_value,edgartools_field,reason,dependent_metrics_unavailable
ASML,2024,total_liabilities,REQUIRED,PASS,edgartools,30112800000.0,EUR,us-gaap:Liabilities,2026-02-25,0001628280-26-011378,VALUE_MATCH,30112800000,us-gaap:Liabilities,30112800000.0,us-gaap:Liabilities,,
ASML,2025,accounts_payable,REQUIRED,PASS,edgartools,3521800000.0,EUR,us-gaap:AccountsPayableCurrent,2026-02-25,0001628280-26-011378,VALUE_MATCH,3521800000,us-gaap:AccountsPayableCurrent,3521800000.0,us-gaap:AccountsPayableCurrent,,
ASML,2025,accounts_receivable,REQUIRED,PASS,edgartools,3023000000.0,EUR,us-gaap:AccountsReceivableNetCurrent,2026-02-25,0001628280-26-011378,VALUE_MATCH,3023000000,us-gaap:AccountsReceivableNetCurrent,3023000000.0,us-gaap:AccountsReceivableNetCurrent,,
ASML,2025,capital_expenditures,REQUIRED,PASS,edgartools,1573600000.0,EUR,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2026-02-25,0001628280-26-011378,VALUE_MATCH,1573600000,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,1573600000.0,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,
ASML,2025,cash_and_equivalents,REQUIRED,PASS,edgartools,12916000000.0,EUR,us-gaap:CashAndCashEquivalentsAtCarryingValue,2026-02-25,0001628280-26-011378,VALUE_MATCH,12916000000,us-gaap:CashAndCashEquivalentsAtCarryingValue,12916000000.0,us-gaap:CashAndCashEquivalentsAtCarryingValue,,
ASML,2025,current_assets,REQUIRED,PASS,edgartools,30616100000.0,EUR,us-gaap:AssetsCurrent,2026-02-25,0001628280-26-011378,VALUE_MATCH,30616100000,us-gaap:AssetsCurrent,30616100000.0,us-gaap:AssetsCurrent,,
ASML,2025,current_liabilities,REQUIRED,PASS,edgartools,24263900000.0,EUR,us-gaap:LiabilitiesCurrent,2026-02-25,0001628280-26-011378,VALUE_MATCH,24263900000,us-gaap:LiabilitiesCurrent,24263900000.0,us-gaap:LiabilitiesCurrent,,
ASML,2025,depreciation_amortization,REQUIRED,PASS,edgartools,1025900000.0,EUR,us-gaap:DepreciationDepletionAndAmortization,2026-02-25,0001628280-26-011378,VALUE_MATCH,1025900000,us-gaap:DepreciationDepletionAndAmortization,1025900000.0,us-gaap:DepreciationDepletionAndAmortization,,
ASML,2025,gross_profit,REQUIRED,PASS,edgartools,17258000000.0,EUR,us-gaap:GrossProfit,2026-02-25,0001628280-26-011378,VALUE_MATCH,17258000000,us-gaap:GrossProfit,17258000000.0,us-gaap:GrossProfit,,
ASML,2025,inventory,CONDITIONAL,PASS,edgartools,11429300000.0,EUR,us-gaap:InventoryNet,2026-02-25,0001628280-26-011378,VALUE_MATCH,11429300000,us-gaap:InventoryNet,11429300000.0,us-gaap:InventoryNet,,
ASML,2025,long_term_debt,REQUIRED,PASS,edgartools,2709000000.0,EUR,us-gaap:LongTermDebtNoncurrent,2026-02-25,0001628280-26-011378,VALUE_MATCH,2709000000,us-gaap:LongTermDebtNoncurrent,2709000000.0,us-gaap:LongTermDebtNoncurrent,,
ASML,2025,net_income,REQUIRED,PASS,edgartools,9609400000.0,EUR,us-gaap:NetIncomeLoss,2026-02-25,0001628280-26-011378,VALUE_MATCH,9609400000,us-gaap:NetIncomeLoss,9609400000.0,us-gaap:NetIncomeLoss,,
ASML,2025,operating_cash_flow,REQUIRED,PASS,edgartools,12658500000.0,EUR,us-gaap:NetCashProvidedByUsedInOperatingActivities,2026-02-25,0001628280-26-011378,VALUE_MATCH,12658500000,us-gaap:NetCashProvidedByUsedInOperatingActivities,12658500000.0,us-gaap:NetCashProvidedByUsedInOperatingActivities,,
ASML,2025,operating_income,REQUIRED,PASS,edgartools,11301400000.0,EUR,us-gaap:OperatingIncomeLoss,2026-02-25,0001628280-26-011378,VALUE_MATCH,11301400000,us-gaap:OperatingIncomeLoss,11301400000.0,us-gaap:OperatingIncomeLoss,,
ASML,2025,ppe_net,REQUIRED,PASS,edgartools,7893800000.0,EUR,us-gaap:PropertyPlantAndEquipmentNet,2026-02-25,0001628280-26-011378,VALUE_MATCH,7893800000,us-gaap:PropertyPlantAndEquipmentNet,7893800000.0,us-gaap:PropertyPlantAndEquipmentNet,,
ASML,2025,revenue,REQUIRED,PASS,edgartools,32667300000.0,EUR,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2026-02-25,0001628280-26-011378,VALUE_MATCH,32667300000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,32667300000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,,
ASML,2025,shareholders_equity,REQUIRED,PASS,edgartools,19612200000.0,EUR,us-gaap:StockholdersEquity,2026-02-25,0001628280-26-011378,VALUE_MATCH,19612200000,us-gaap:StockholdersEquity,19612200000.0,us-gaap:StockholdersEquity,,
ASML,2025,short_term_debt,REQUIRED,PASS,edgartools,1681900000.0,EUR,aggregation:us-gaap:LongTermDebtCurrent,2026-02-25,0001628280-26-011378,VALUE_MATCH,1681900000,aggregation:us-gaap:LongTermDebtCurrent,1681900000.0,aggregation:us-gaap:LongTermDebtCurrent,,
ASML,2025,total_assets,REQUIRED,PASS,edgartools,50566600000.0,EUR,us-gaap:Assets,2026-02-25,0001628280-26-011378,VALUE_MATCH,50566600000,us-gaap:Assets,50566600000.0,us-gaap:Assets,,
ASML,2025,total_liabilities,REQUIRED,PASS,edgartools,30954400000.0,EUR,us-gaap:Liabilities,2026-02-25,0001628280-26-011378,VALUE_MATCH,30954400000,us-gaap:Liabilities,30954400000.0,us-gaap:Liabilities,,
AAPL,2023,accounts_payable,REQUIRED,PASS,edgartools,62611000000.0,USD,us-gaap:AccountsPayableCurrent,2024-11-01,0000320193-24-000123,VALUE_MATCH,62611000000,us-gaap:AccountsPayableCurrent,62611000000.0,us-gaap:AccountsPayableCurrent,,
AAPL,2023,accounts_receivable,REQUIRED,PASS,edgartools,29508000000.0,USD,us-gaap:AccountsReceivableNetCurrent,2024-11-01,0000320193-24-000123,VALUE_MATCH,29508000000,us-gaap:AccountsReceivableNetCurrent,29508000000.0,us-gaap:AccountsReceivableNetCurrent,,
AAPL,2023,capital_expenditures,REQUIRED,PASS,edgartools,10959000000.0,USD,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2025-10-31,0000320193-25-000079,VALUE_MATCH,10959000000,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,10959000000.0,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,
AAPL,2023,cash_and_equivalents,REQUIRED,PASS,edgartools,29965000000.0,USD,us-gaap:CashAndCashEquivalentsAtCarryingValue,2024-11-01,0000320193-24-000123,VALUE_MATCH,29965000000,us-gaap:CashAndCashEquivalentsAtCarryingValue,29965000000.0,us-gaap:CashAndCashEquivalentsAtCarryingValue,,
AAPL,2023,current_assets,REQUIRED,PASS,edgartools,143566000000.0,USD,us-gaap:AssetsCurrent,2024-11-01,0000320193-24-000123,VALUE_MATCH,143566000000,us-gaap:AssetsCurrent,143566000000.0,us-gaap:AssetsCurrent,,
AAPL,2023,current_liabilities,REQUIRED,PASS,edgartools,145308000000.0,USD,us-gaap:LiabilitiesCurrent,2024-11-01,0000320193-24-000123,VALUE_MATCH,145308000000,us-gaap:LiabilitiesCurrent,145308000000.0,us-gaap:LiabilitiesCurrent,,
AAPL,2023,depreciation_amortization,REQUIRED,PASS,edgartools,11519000000.0,USD,us-gaap:DepreciationDepletionAndAmortization,2025-10-31,0000320193-25-000079,VALUE_MATCH,11519000000,us-gaap:DepreciationDepletionAndAmortization,11519000000.0,us-gaap:DepreciationDepletionAndAmortization,,
AAPL,2023,gross_profit,REQUIRED,PASS,edgartools,169148000000.0,USD,us-gaap:GrossProfit,2025-10-31,0000320193-25-000079,VALUE_MATCH,169148000000,us-gaap:GrossProfit,169148000000.0,us-gaap:GrossProfit,,
AAPL,2023,inventory,CONDITIONAL,PASS,edgartools,6331000000.0,USD,us-gaap:InventoryNet,2024-11-01,0000320193-24-000123,VALUE_MATCH,6331000000,us-gaap:InventoryNet,6331000000.0,us-gaap:InventoryNet,,
AAPL,2023,long_term_debt,REQUIRED,PASS,edgartools,95281000000.0,USD,us-gaap:LongTermDebtNoncurrent,2024-11-01,0000320193-24-000123,VALUE_MATCH,95281000000,us-gaap:LongTermDebtNoncurrent,95281000000.0,us-gaap:LongTermDebtNoncurrent,,
AAPL,2023,net_income,REQUIRED,PASS,edgartools,96995000000.0,USD,us-gaap:NetIncomeLoss,2025-10-31,0000320193-25-000079,VALUE_MATCH,96995000000,us-gaap:NetIncomeLoss,96995000000.0,us-gaap:NetIncomeLoss,,
AAPL,2023,operating_cash_flow,REQUIRED,PASS,edgartools,110543000000.0,USD,us-gaap:NetCashProvidedByUsedInOperatingActivities,2025-10-31,0000320193-25-000079,VALUE_MATCH,110543000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,110543000000.0,us-gaap:NetCashProvidedByUsedInOperatingActivities,,
AAPL,2023,operating_income,REQUIRED,PASS,edgartools,114301000000.0,USD,us-gaap:OperatingIncomeLoss,2025-10-31,0000320193-25-000079,VALUE_MATCH,114301000000,us-gaap:OperatingIncomeLoss,114301000000.0,us-gaap:OperatingIncomeLoss,,
