ticker,fiscal_year,metric,old_value,old_field,old_filing_date,edgartools_value,edgartools_field,edgartools_filing_date,classification
AAPL,2024,cash_and_equivalents,29943000000,us-gaap:CashAndCashEquivalentsAtCarryingValue,2025-10-31,29943000000.0,us-gaap:CashAndCashEquivalentsAtCarryingValue,2025-10-31,VALUE_MATCH
AAPL,2024,current_assets,152987000000,us-gaap:AssetsCurrent,2025-10-31,152987000000.0,us-gaap:AssetsCurrent,2025-10-31,VALUE_MATCH
AAPL,2024,current_liabilities,176392000000,us-gaap:LiabilitiesCurrent,2025-10-31,176392000000.0,us-gaap:LiabilitiesCurrent,2025-10-31,VALUE_MATCH
AAPL,2024,depreciation_amortization,11445000000,us-gaap:DepreciationDepletionAndAmortization,2025-10-31,11445000000.0,us-gaap:DepreciationDepletionAndAmortization,2025-10-31,VALUE_MATCH
AAPL,2024,gross_profit,180683000000,us-gaap:GrossProfit,2025-10-31,180683000000.0,us-gaap:GrossProfit,2025-10-31,VALUE_MATCH
AAPL,2024,inventory,7286000000,us-gaap:InventoryNet,2025-10-31,7286000000.0,us-gaap:InventoryNet,2025-10-31,VALUE_MATCH
AAPL,2024,long_term_debt,85750000000,us-gaap:LongTermDebtNoncurrent,2025-10-31,85750000000.0,us-gaap:LongTermDebtNoncurrent,2025-10-31,VALUE_MATCH
AAPL,2024,net_income,93736000000,us-gaap:NetIncomeLoss,2025-10-31,93736000000.0,us-gaap:NetIncomeLoss,2025-10-31,VALUE_MATCH
AAPL,2024,operating_cash_flow,118254000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,2025-10-31,118254000000.0,us-gaap:NetCashProvidedByUsedInOperatingActivities,2025-10-31,VALUE_MATCH
AAPL,2024,operating_income,123216000000,us-gaap:OperatingIncomeLoss,2025-10-31,123216000000.0,us-gaap:OperatingIncomeLoss,2025-10-31,VALUE_MATCH
AAPL,2024,ppe_net,45680000000,us-gaap:PropertyPlantAndEquipmentNet,2025-10-31,45680000000.0,us-gaap:PropertyPlantAndEquipmentNet,2025-10-31,VALUE_MATCH
AAPL,2024,revenue,391035000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2025-10-31,391035000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2025-10-31,VALUE_MATCH
AAPL,2024,shareholders_equity,56950000000,us-gaap:StockholdersEquity,2025-10-31,56950000000.0,us-gaap:StockholdersEquity,2025-10-31,VALUE_MATCH
AAPL,2024,short_term_debt,10912000000,aggregation:us-gaap:LongTermDebtCurrent,2025-10-31,10912000000.0,aggregation:us-gaap:LongTermDebtCurrent,2025-10-31,VALUE_MATCH
AAPL,2024,total_assets,364980000000,us-gaap:Assets,2025-10-31,364980000000.0,us-gaap:Assets,2025-10-31,VALUE_MATCH
AAPL,2024,total_liabilities,308030000000,us-gaap:Liabilities,2025-10-31,308030000000.0,us-gaap:Liabilities,2025-10-31,VALUE_MATCH
AAPL,2025,accounts_payable,69860000000,us-gaap:AccountsPayableCurrent,2025-10-31,69860000000.0,us-gaap:AccountsPayableCurrent,2025-10-31,VALUE_MATCH
AAPL,2025,accounts_receivable,39777000000,us-gaap:AccountsReceivableNetCurrent,2025-10-31,39777000000.0,us-gaap:AccountsReceivableNetCurrent,2025-10-31,VALUE_MATCH
AAPL,2025,capital_expenditures,12715000000,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2025-10-31,12715000000.0,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2025-10-31,VALUE_MATCH
AAPL,2025,cash_and_equivalents,35934000000,us-gaap:CashAndCashEquivalentsAtCarryingValue,2025-10-31,35934000000.0,us-gaap:CashAndCashEquivalentsAtCarryingValue,2025-10-31,VALUE_MATCH
AAPL,2025,current_assets,147957000000,us-gaap:AssetsCurrent,2025-10-31,147957000000.0,us-gaap:AssetsCurrent,2025-10-31,VALUE_MATCH
AAPL,2025,current_liabilities,165631000000,us-gaap:LiabilitiesCurrent,2025-10-31,165631000000.0,us-gaap:LiabilitiesCurrent,2025-10-31,VALUE_MATCH
AAPL,2025,depreciation_amortization,11698000000,us-gaap:DepreciationDepletionAndAmortization,2025-10-31,11698000000.0,us-gaap:DepreciationDepletionAndAmortization,2025-10-31,VALUE_MATCH
AAPL,2025,gross_profit,195201000000,us-gaap:GrossProfit,2025-10-31,195201000000.0,us-gaap:GrossProfit,2025-10-31,VALUE_MATCH
AAPL,2025,inventory,5718000000,us-gaap:InventoryNet,2025-10-31,5718000000.0,us-gaap:InventoryNet,2025-10-31,VALUE_MATCH
AAPL,2025,long_term_debt,78328000000,us-gaap:LongTermDebtNoncurrent,2025-10-31,78328000000.0,us-gaap:LongTermDebtNoncurrent,2025-10-31,VALUE_MATCH
AAPL,2025,net_income,112010000000,us-gaap:NetIncomeLoss,2025-10-31,112010000000.0,us-gaap:NetIncomeLoss,2025-10-31,VALUE_MATCH
AAPL,2025,operating_cash_flow,111482000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,2025-10-31,111482000000.0,us-gaap:NetCashProvidedByUsedInOperatingActivities,2025-10-31,VALUE_MATCH
AAPL,2025,operating_income,133050000000,us-gaap:OperatingIncomeLoss,2025-10-31,133050000000.0,us-gaap:OperatingIncomeLoss,2025-10-31,VALUE_MATCH
AAPL,2025,ppe_net,49834000000,us-gaap:PropertyPlantAndEquipmentNet,2025-10-31,49834000000.0,us-gaap:PropertyPlantAndEquipmentNet,2025-10-31,VALUE_MATCH
AAPL,2025,revenue,416161000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2025-10-31,416161000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2025-10-31,VALUE_MATCH
AAPL,2025,shareholders_equity,73733000000,us-gaap:StockholdersEquity,2025-10-31,73733000000.0,us-gaap:StockholdersEquity,2025-10-31,VALUE_MATCH
AAPL,2025,short_term_debt,12350000000,aggregation:us-gaap:LongTermDebtCurrent,2025-10-31,12350000000.0,aggregation:us-gaap:LongTermDebtCurrent,2025-10-31,VALUE_MATCH
AAPL,2025,total_assets,359241000000,us-gaap:Assets,2025-10-31,359241000000.0,us-gaap:Assets,2025-10-31,VALUE_MATCH
AAPL,2025,total_liabilities,285508000000,us-gaap:Liabilities,2025-10-31,285508000000.0,us-gaap:Liabilities,2025-10-31,VALUE_MATCH
MSFT,2024,accounts_payable,21996000000,us-gaap:AccountsPayableCurrent,2025-07-30,21996000000.0,us-gaap:AccountsPayableCurrent,2025-07-30,VALUE_MATCH
MSFT,2024,accounts_receivable,56924000000,us-gaap:AccountsReceivableNetCurrent,2025-07-30,56924000000.0,us-gaap:AccountsReceivableNetCurrent,2025-07-30,VALUE_MATCH
MSFT,2024,capital_expenditures,44477000000,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2026-07-29,44477000000.0,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2026-07-29,VALUE_MATCH
MSFT,2024,cash_and_equivalents,18315000000,us-gaap:CashAndCashEquivalentsAtCarryingValue,2025-07-30,18315000000.0,us-gaap:CashAndCashEquivalentsAtCarryingValue,2025-07-30,VALUE_MATCH
MSFT,2024,current_assets,159734000000,us-gaap:AssetsCurrent,2025-07-30,159734000000.0,us-gaap:AssetsCurrent,2025-07-30,VALUE_MATCH
MSFT,2024,current_liabilities,125286000000,us-gaap:LiabilitiesCurrent,2025-07-30,125286000000.0,us-gaap:LiabilitiesCurrent,2025-07-30,VALUE_MATCH
MSFT,2024,depreciation_amortization,20000000000,aggregation:us-gaap:Depreciation+us-gaap:AmortizationOfIntangibleAssets,2026-07-29,20000000000.0,aggregation:us-gaap:Depreciation+us-gaap:AmortizationOfIntangibleAssets,2026-07-29,VALUE_MATCH
MSFT,2024,gross_profit,171008000000,us-gaap:GrossProfit,2026-07-29,171008000000.0,us-gaap:GrossProfit,2026-07-29,VALUE_MATCH
MSFT,2024,inventory,1246000000,us-gaap:InventoryNet,2025-07-30,1246000000.0,us-gaap:InventoryNet,2025-07-30,VALUE_MATCH
MSFT,2024,long_term_debt,42688000000,us-gaap:LongTermDebtNoncurrent,2025-07-30,42688000000.0,us-gaap:LongTermDebtNoncurrent,2025-07-30,VALUE_MATCH
MSFT,2024,net_income,88136000000,us-gaap:NetIncomeLoss,2026-07-29,88136000000.0,us-gaap:NetIncomeLoss,2026-07-29,VALUE_MATCH
MSFT,2024,operating_cash_flow,118548000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,2026-07-29,118548000000.0,us-gaap:NetCashProvidedByUsedInOperatingActivities,2026-07-29,VALUE_MATCH
MSFT,2024,operating_income,109433000000,us-gaap:OperatingIncomeLoss,2026-07-29,109433000000.0,us-gaap:OperatingIncomeLoss,2026-07-29,VALUE_MATCH
MSFT,2024,ppe_net,135591000000,us-gaap:PropertyPlantAndEquipmentNet,2025-07-30,135591000000.0,us-gaap:PropertyPlantAndEquipmentNet,2025-07-30,VALUE_MATCH
MSFT,2024,revenue,245122000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2026-07-29,245122000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2026-07-29,VALUE_MATCH
MSFT,2024,shareholders_equity,268477000000,us-gaap:StockholdersEquity,2026-07-29,268477000000.0,us-gaap:StockholdersEquity,2026-07-29,VALUE_MATCH
MSFT,2024,short_term_debt,2249000000,aggregation:us-gaap:LongTermDebtCurrent,2025-07-30,2249000000.0,aggregation:us-gaap:LongTermDebtCurrent,2025-07-30,VALUE_MATCH
MSFT,2024,total_assets,512163000000,us-gaap:Assets,2025-07-30,512163000000.0,us-gaap:Assets,2025-07-30,VALUE_MATCH
MSFT,2024,total_liabilities,243686000000,us-gaap:Liabilities,2025-07-30,243686000000.0,us-gaap:Liabilities,2025-07-30,VALUE_MATCH
MSFT,2025,accounts_payable,27724000000,us-gaap:AccountsPayableCurrent,2026-07-29,27724000000.0,us-gaap:AccountsPayableCurrent,2026-07-29,VALUE_MATCH
MSFT,2025,accounts_receivable,69905000000,us-gaap:AccountsReceivableNetCurrent,2026-07-29,69905000000.0,us-gaap:AccountsReceivableNetCurrent,2026-07-29,VALUE_MATCH
MSFT,2025,capital_expenditures,64551000000,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2026-07-29,64551000000.0,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2026-07-29,VALUE_MATCH
MSFT,2025,cash_and_equivalents,30242000000,us-gaap:CashAndCashEquivalentsAtCarryingValue,2026-07-29,30242000000.0,us-gaap:CashAndCashEquivalentsAtCarryingValue,2026-07-29,VALUE_MATCH
MSFT,2025,current_assets,191131000000,us-gaap:AssetsCurrent,2026-07-29,191131000000.0,us-gaap:AssetsCurrent,2026-07-29,VALUE_MATCH
MSFT,2025,current_liabilities,141218000000,us-gaap:LiabilitiesCurrent,2026-07-29,141218000000.0,us-gaap:LiabilitiesCurrent,2026-07-29,VALUE_MATCH
MSFT,2025,depreciation_amortization,28000000000,aggregation:us-gaap:Depreciation+us-gaap:AmortizationOfIntangibleAssets,2026-07-29,28000000000.0,aggregation:us-gaap:Depreciation+us-gaap:AmortizationOfIntangibleAssets,2026-07-29,VALUE_MATCH
MSFT,2025,gross_profit,193893000000,us-gaap:GrossProfit,2026-07-29,193893000000.0,us-gaap:GrossProfit,2026-07-29,VALUE_MATCH
