ticker,discount_rate,terminal_growth_rate,status,fair_value_per_unit,currency,issues,inputs_hash
TSM,0.10,0.02,AVAILABLE,76.24946962057051429297667567,USD,,10f29a21f6b5802027f9c6be1a2c4463cf5ed05428235ddc1726f4462c8e854c
TSM,0.10,0.03,AVAILABLE,84.45662446061960211846073538,USD,,4975dd55f5fd70ed12461cc4750237236c5f569681f95c604e08cb06a3ff4ed8
ADBE,0.07,0.01,AVAILABLE,397.0044636307932935073176971,USD,,ba3755d2d5fad6a4ac45e5cf2f0ed05d47f86a3e0db7ed430622434fa3bd1c33
ADBE,0.07,0.02,AVAILABLE,461.28703613563849245847272,USD,,a0c1518a6bf9451500f69180f5764c700a6067db90362e3e3bbf185bbb7435ca
ADBE,0.07,0.03,AVAILABLE,557.7108948929062908852052541,USD,,1c6cd674190b4adc13eebd6dda7964f31915b755c6ac4e9cf3d1cd3f4eea972c
ADBE,0.08,0.01,AVAILABLE,339.3081257447045098777893766,USD,,77617185dba98f071a4edb95a392906d9958f05448073f4c3fff23a33aca3d75
ADBE,0.08,0.02,AVAILABLE,383.5471257498868863946380317,USD,,d2475993edfb610336cb82e1f0d4f6929773844377e26e4441186386c9268033
ADBE,0.08,0.03,AVAILABLE,445.4817257571422135182261487,USD,,c9bfaa1c22a7714c4c73388bb4a941b670b5d3b357aada05df7ed5c5a2f803b1
ADBE,0.09,0.01,AVAILABLE,296.0668796270666514252947904,USD,,b7c5c99b6fdd51b854a6f85efcfae789cc29f22726d91513ab46e273e44c216d
ADBE,0.09,0.02,AVAILABLE,328.0451960145746500087432435,USD,,5424c1e5a2e3ca570e53cb264d41913d351a236c58d58757a31775f49e11164a
ADBE,0.09,0.03,AVAILABLE,370.6829511979186481200078478,USD,,e014d16b425976efe2f91580e6140fcd8a2e3d3e35416dd891867cbd9b55cba4
ADBE,0.10,0.01,AVAILABLE,262.4610656556349254419934714,USD,,45861b219e4bf5fd7bb4721ffc9013967edae9d928f7de50fb43505ff8f99baf
ADBE,0.10,0.02,AVAILABLE,286.4409109393947985303612367,USD,,af7497ea9d42500ff8865b2c04dccf0ff9aabf445dfcd389038c185a41d41311
ADBE,0.10,0.03,AVAILABLE,317.2721405899432067868340780,USD,,8eefe617ce84381261236911e8b1f14bcb95b2173cd4648b5a11d3abe6755a0f
